Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Percentage of total dining services food purchases comprised of conventionally produced animal ...,A brief description of the methodology used to track/inventory expenditures on animal products,"Does the institution offer diverse, complete-protein vegan dining options at all meals in at least ...","Does the institution provide labels and/or signage that distinguishes between vegan, vegetarian ...",Are the vegan options accessible to all members of the campus community?,"A brief description of the vegan dining program, including availability, sample menus, signage and ...",A brief description of other efforts the institution has made to reduce the impact of its ...,The website URL where information about where information about the vegan dining program is ...,Annual dining services expenditures on food,Annual dining services expenditures on conventionally produced animal products,Annual dining services expenditures on sustainably produced animal products,Public Notes
University of Wisconsin-Stevens Point,2016-01-28,2016-01-28 12:01:49,sjanowsk@uwsp.edu,2.0,Pursuing,75.0,"Per discussion with the Dining Director, the majority of the animal products is likely not sustainable.  However, we purchase from Red Barn Dairy which is Humanely Certified.  We also purchase some local chicken and beef, although not third party verified it is verified by the institution to be both ecologically sound and humane through a relationship with a local producer.  The CPS Cafe purchases locally grown and processed, free range and organic meat.  All milk and shelled eggs are cage free.",True,True,True,"The CPS Cafe offers protein complete vegan offerings daily, but is not open for supper.
We have every day vegan choices.  The menu items are integrated into the cycle menu.  Items are designated by stickers for Vegetarian, and vegan recipes are available in a binder by the service area.
Debot Dining offers vegan offerings at each meal.  The NetNutrition program is an online program that consumers can search for vegan, vegetarian, gluten-free options being served and allergy information. There is currently a vegan dining (student) team working with management to update the vegan rotational menu.","The CPS Café mission is to promote a sustainable food culture.  We participate in numerous farm to fork community promotions including Farmshed activities and the MREA.  The café also conducts written promotions, places ads in the local food atlas and city Pages (furthering the mission).  We consider every meal service and educational opportunity for our customers and students. We purchase products from local farmers and selectively purchase from sustainable farms when absolutely necessary.",http://www.uwsp.edu/dining/Pages/netNutrition/netNutrition.aspx,--,--,--,--
University of Wisconsin-Stout,2016-03-25,2016-03-25 10:47:57,rykals@uwstout.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--
University of the Pacific,2016-03-23,2016-03-23 15:38:05,seller@pacific.edu,2.0,Pursuing,--,"Weekly inventory to track purchases.  Support Bon Appetit's overall mission and vision to purchase cage free eggs, as well as gestation free pork and antibiotic free chicken and ground meat.",True,True,True,Our Healthy Destination Station located in the main dining hall has a vegan option daily at each service time.,"Bon Appetit highlights the impact of the meat industry, especially that of diary, in regards to water consumption, carbon dioxide omissions and health impacts.  Bon Appetit promotes a Low Carbon Diet among it's many other initiatives.",http://sustainablediningatpacific.com/wellbeing/forcollegestudents/vegetarianism.html,3774000.0,--,857590.0,"We have also started a new labeling program which highlights: farm to fork, locally crafted, organic, seafood watch, humane, well-being, in balance, vegetarian, vegan and made without gluten-containing ingredients. "
Vanderbilt University,2016-03-21,2016-03-21 10:46:07,andrea.george@vanderbilt.edu,2.0,Pursuing,2.5,"Dining employs a Sustainability Supervisor who is responsible for researching, implementing, and managing all of Dining’s green initiatives and participates in the planning and implementation of many campus-wide sustainability initiatives throughout the year. Vanderbilt Dining has established a Dining Advisory Committee, comprised of students and staff to address all aspects of dining on campus, including the procurement of sustainable foods.  Wherever possible, efforts are made to provide seasonal, local, natural and organic foods.  ",True,True,True,"Vegetarian and vegan entrees are available at each meal at various Vanderbilt Dining locations. In November 2013, Vanderbilt Dining received an “B” on PETA2’s Vegan Report Card with a 94% student satisfaction rate. Vanderbilt Dining was recognized on this list for offering at least one vegan entrée at every meal, offering nondairy milk, labeling vegan entrees and desserts, including a vegan student on the dining advisory board, promoting vegan options and working with students to distribute vegan food.  http://www.peta2.com/feature/vegan-college-ranking/college/vanderbilt-university/ ",,http://www.peta2.com/feature/vegan-college-ranking/college/vanderbilt-university,--,--,--,http://campusdining.vanderbilt.edu/about/eat-the-world-save-the-earth/ 
Vassar College,2016-03-10,2016-03-10 19:47:25,alihall@vassar.edu,2.0,Pursuing,20.0,Manually track purchases using Excel spreadsheets and conduct research to confirm supplier claims of sustainable produced animal products.,True,True,True,"Campus Dining recognizes that vegan and vegetarian dining is an important component of environmental sustainability. Vassar provides vegan and vegetarian options at all times at both the All Campus Dining Center and The Retreat, and has been recognized by PETA for A-grade vegan dining. Complete-protein options are available at the All Campus Dining Center, as well as a stir-fry station at which students can customize their own vegan dishes. Campus Dining regularly partners with the Vassar Animal Rights Coalition, a student organization, to provide special vegan banquets, and to promote the Meatless Monday program. 

Sample Meatless Monday offering:
Curried quinoa and butternut squash cold salad
Minestrone soup
Black beans with cumin
Cellentani pasta with marina sauce
Vegan oatmeal cookie
Full salad bar
Full self stir-fry station",,http://www.campusdish.com/en-us/CSNE/Vassar,1960730.0,391696.15,279580.84,Another URL: http://pages.vassar.edu/ccs/campus-dining/
Villanova University,2016-03-21,2016-03-21 13:11:28,liesel.schwarz@villanova.edu,2.0,Pursuing,36.0,,True,True,True,"Vegan menu options are available at all dining locations on campus  for each meal.  The residential dining halls feature complete-protein  vegan  entrees and vegan options which includes at least one vegan soup daily.  At dinner, a vegetarian and vegan entrée are featured.  In the three resident halls, a vegan refrigerator is stocked with vegan food products  along with dried fruits. http://www1.villanova.edu/villanova/services/dining/nutrition/villanova_vegan.html 
","Dining services does purchase reduced impact animal products with possible, including: cage free eggs, Harvestland beef hot dogs, local Thursday meals, Monterey Bay Seafood Watch, and natural value tuna. We also encourage students to a healthier, balanced diet through the Villanova Eats Great (VEG) program. http://www1.villanova.edu/villanova/services/dining/nutrition/veg.html",http://www1.villanova.edu/villanova/services/dining/nutrition/villanova_vegan.html,8123680.0,2997646.0,175603.0,"Our percentage of conventionally purchased meat products rose this past year because of a switch away from grass fed burgers, to burgers partially made with mushrooms, thus reducing the total meat consumption from one burger. "
Virginia Commonwealth University,2015-07-24,2015-07-24 09:33:08,eestanforth@vcu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,Tamara Hightsmith in Business Services to provide data. Steve H. 7/10/15.
Warren Wilson College,2016-03-21,2016-03-21 15:30:00,aclimo@warren-wilson.edu,2.0,Pursuing,13.0,The head of Sodexo at Warren Wilson College estimated the total amount spent annually on conventionally produced animal products. ,True,True,True,"We have a separate vegan cafe, Cowpie Cafe, where roughly 35% of the student population eats. Additionally, a vegan alternative is offered at every meal in our main dining hall, meaning 100% of the student body has access to vegan food at every meal

A group of motivated Warren Wilson students started -- and run -- Cowpie Cafe. Students learn about vegetarian and vegan cooking, and work with the college's organically managed garden to source vegetables as locally as possible.",In 2000 a vegan/vegetarian dining hall was opened (instead of a grill with burgers and such).  We also have dairy-free milk available at all meals/locations.  Gladfelter dining hall also has vegan/vegetarian options at every meal.,http://www.warren-wilson.edu/~localfoods/home.php,595618.0,90000.0,145000.0,--
Wartburg College,2015-04-27,2015-04-27 09:08:12,anne.duncan@wartburg.edu,2.0,Pursuing,100.0,Wartburg College does purchase our ground beef locally but we are not able to tease out the amounts. ,--,True,True,Protein complete vegetarian options are provided. ,The College does purchase one or two cows a year from a local locker and farmer. ,--,--,--,--,--
"Washington State University, Pullman",2016-03-25,2016-03-25 18:58:42,slkane@wsu.edu,2.0,Pursuing,50.0,"Food Service of America tracks expenditures, but currently expenditures on animal products is not completed.  So 50% is an estimate.",True,True,True,"Dining Services is committed to labeling all of the Healthy Options, Vegan Options, and Vegetarian Options available to customers in the Dining Centers.  The menu is limited, but one vegan option is available upon request by customer.",Switched to cage free eggs.,http://dining.wsu.edu/nutrition/,7302524.0,--,--,--
