Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Number of employees,"Number of staff and faculty covered by sustainable compensation standards, guidelines, or policies; ...",Does the institution have employees of contractors working on-site as part of regular and ongoing ...,Number of employees of contractors working on campus,"Number of employees of contractors covered by sustainable compensation standards, guidelines, or ...","A brief description of the sustainable compensation standards, guidelines, or policies; and/or ...",Does the institution wish to pursue Part 2 of this credit (assessing employee compensation)?,Number of staff and faculty that receive sustainable compensation,Number of employees of contractors that receive sustainable compensation,A brief description of the standard(s) against which compensation was assessed,A brief description of the compensation (wages and benefits) provided to the institution’s lowest ...,A brief description of the compensation (wages and benefits) provided to the institution’s lowest ...,A brief description of the compensation (wages and benefits) provided to the institution’s lowest ...,A brief description of the compensation (wages and benefits) provided to the institution’s lowest ...,A brief description of the compensation (wages and benefits) provided to the institution’s lowest ...,The local legal minimum hourly wage for regular employees,"Does the institution have an on-site child care facility, partner with a local facility, and/or ...",Does the institution offer a socially responsible investment option for retirement plans?,The website URL where information about the institution’s sustainable compensation policies and ...,Public Notes
Michigan State University,2016-02-16,2016-02-16 09:19:15,erhardt7@msu.edu,2.0,Pursuing,11956.0,7425.0,--,--,--,"Eligible faculty and staff are covered under one of eleven different collective bargaining units. However, under Michigan's Right to Work law that was effective March 2013, employees are no longer required to belong to a union.
Information on MSU collective bargaining unit contracts: http://www.hr.msu.edu/documents/contracts.htm ",--,--,--,http://www.hr.msu.edu/recognition/index.htm,$9.64 per hour plus benefits ,$9.64 per hour plus benefits proportionate to employment %; remainder of premium is paid by employee,"$8.15 per hour. (Minimum wage increased to $8.50 per hour eff. January 1, 2016.)","$29,160 for Academic Year FTE; $35,641 for Annual Year FTE","$8.15 per hour (Minimum wage increased to $8.50 per hour eff. January 1, 2016.)",8.15,True,True,http://www.hr.msu.edu/recognition/index.htm,MSU does have some contract employees that work on campus but does not track this data.
Middlebury College,2016-03-25,2016-03-25 14:02:02,jmbyrne@middlebury.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Mills College,2016-02-29,2016-02-29 23:53:41,ngaetjens@mills.edu,2.0,Pursuing,579.0,579.0,True,50.0,50.0,"There are three collective bargaining agreements with unions for staff, and one for adjunct faculty. Full benefits are provided for all staff working 20 or more hours per week and for faculty teaching at least three courses per academic year. ",True,579.0,50.0,Salary comparison groups determined by salary surveys from AICCU (Association of Independent California Colleges and Universities) and CUPA-HR (College and University Professional Association),"Minimum of $15.00 per hour plus health, dental and vision insurance. Retirement Plan contributions of up to 9% from the employer. ",Lowest paid is $12.55 per hour. Full benefits if working 20 hours per week.,Lowest paid is $12.55 per hour. No benefits if working less than 20 hours per week.,"$5,000 per course as of 2015",$12.55,12.55,--,--,https://intranet.mills.edu/vpt/policies.php, https://intranet.mills.edu/human_resources/Employee_Handbook.pdf
Mount Holyoke College,2016-01-25,2016-01-25 09:09:59,neapple@mtholyoke.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Muhlenberg College,2016-03-23,2016-03-23 10:26:18,kprocyk@muhlenberg.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"Muhlenberg does offer a socially responsible investment option for retirement plans to its employees. This takes the form of the CREF ""SOCIAL CHOICE"" investment option with a TIAA-CREF retirement annuity vendor."
Naropa University,2016-02-29,2016-02-29 17:16:37,acook@naropa.edu,2.0,Pursuing,597.0,597.0,--,--,--,We benchmark compensation against local and national surveys to ensure that we are compensating positions similarly to our peers and within budget limitations.,--,--,--,,,,,,,--,--,--,--,--
North Carolina State University,2016-01-28,2016-01-28 13:27:29,lindsay_batchelor@ncsu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Northern Arizona University,2016-02-23,2016-02-23 18:51:58,Ellen.Vaughan@nau.edu,2.0,Pursuing,4555.0,--,True,350.0,--,0,--,--,--,N/A,"Any employee who works more than 20 hours for nire than 20 weeks is eligible for voluntary benefits (medical, vision, and dental), life Insurance, and retirement plans for partners, dependents, and spouses. ","Any employee who works more than 20 hours for more than 20 weeks is eligible for voluntary benefits (medical, vision, and dental), life Insurance, and retirement plans for partners, dependents, and spouses. ",None,None,None ,7.9,--,True,http://www.hr.nau.edu/,--
Oberlin College,2016-03-21,2016-03-21 16:09:39,bflynn@oberlin.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ohio University,2016-03-23,2016-03-23 07:57:07,goetze@ohio.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,http://author.oit.ohio.edu/provost/upload/2014-Faculty-Compensation-Task-Force-Report-24FEB2014.pdf
Onondaga Community College,2016-02-26,2016-02-26 16:33:51,vormwals@sunyocc.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Oregon State University,2016-03-30,2016-03-30 14:49:38,brandon.trelstad@oregonstate.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Pennsylvania State University,2016-03-21,2016-03-21 11:48:39,mme2@psu.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"Due to lack of data on compensation paid by on-campus contractors, we made the conservative assumption that they do not pay sustainable compensation.  (Only about 50 employees are paid by on-campus contractors.)

Graduate students who receive financial assistance are paid by their College. 
The Graduate School emphasizes to all colleges that an institutional goal is to appoint GAs at no less than a grade 12, and preferably a grade 13 ($18,225 for Fall/Spring for 2013/14).  This is formalized in the Strategic Plan for the Graduate School (draft submitted to the Provost), and colleges are asked to work towards their programs meeting this target.

For Centre County, PA, the location of the University Park campus, which is where the majority of Ph.D. students (who hold the majority of assistantships) are enrolled, a living wage is calculated at $18,469 in 2014  (http://livingwage.mit.edu/counties/42027).  For academic year 2013/14, the numerical average stipend amount of all ½-time fall/spring assistantships (93% of all the assistantships are ½-time) was $18,488, and most GAs receive some form of summer support on top of this, so we are on average providing more than a living wage in terms of the stipend plus summer support.

 In addition to the stipend, every assistantship includes full graduate tuition, a university contribution to the GA’s health insurance premium (for individual GAs, the University pays 80% of the premium; for a spouse/partner, the University pays 75% of the premium; and for children the University pays 76% of the premium), and for students appointed to a fall/spring GA, qualifies the student for up to 9 credits of summer tuition at no cost to the graduate student in the subsequent summer.  In addition to the stipend, the value of these other forms of compensation total approximately $54,116 for GAs who are PA-residents, and approximately $71,937 for GAs who are non-PA residents.  

"
Pittsburg State University,2016-03-24,2016-03-24 14:46:58,bpeery@pittstate.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,http://www.pittstate.edu/audiences/faculty-staff/knea/
Pitzer College,2016-02-22,2016-02-22 14:38:42,warren_biggins@pitzer.edu,2.0,Pursuing,356.0,284.0,True,7.0,--,"The College has the set the minimum salary for all staff positions to be no less than 10% above LA County living wage ($9.64 per hour).  Currently, the minimum salary at Pitzer College is $11.00 per hour.  The College reviews all positions annually and has a goal to be within 10% of the salary range midpoint or market comparable ( when available) by the 5th year in the position.  

Wages for employees of contractors are set by the contractors; the College does not have an explicit policy regarding sustainable compensation for employees of contractors. 

There are 70 tenure/tenure track faculty.  The faculty have a goal that all tenure/tenure track faculty be paid at 95% of comparable colleges based on the salary information provided by the American Association of University Professors.

",True,284.0,--,"The College has the set the minimum salary for all staff positions to be no less than 10% above LA County living wage ($9.64 per hour).  Currently, the minimum salary at Pitzer College is $11.00 per hour. 

Wages for employees of contractors are set by the contractors; the College does not have an explicit policy regarding sustainable compensation for employees of contractors. 

There are 70 tenure/tenure track faculty.  The faculty have a goal that all tenure/tenure track faculty be paid at 95% of comparable colleges based on the salary information provided by the American Association of University Professors.
","Provided to all full-time regular employees:

1.	No salary less than $11.00 per hour.
2.	Medical insurance: 2 HMO plans and 1 HDHP with employer subsidies (higher employer subsidy for employees earning under $52,000 per year)
3.	Dental insurance: HMO and PPO with employer subsidies
4.	Vision insurance: Core and Buy-Up plans with employer subsidies (employee only coverage on the Core plan is at no cost to the employee)
5.	Group Life Insurance: 1X annualized salary; minimum $20K, maximum $50K
6.	Retirement Plan: contributions equal to 12% of salary after eligibility period satisfied; immediate vesting; no employee contributions required.
7.	Employee Assistance Program: employee receives 5 free counseling sessions per year per issue, plus household members receive 5 free counseling sessions per year.
8.	Computer Loans: up to $2,000 interest free for the purchase of a computer, after one year of full-time employment.
9.	Holiday Pay: 16 days are paid as holidays throughout the year.
10.	Long Term Disability Insurance: paid for employees working 30 hours per week or more.
11.	Paid Leave After Birth/Adoption/Foster Placement of Child: after one year of full-time employment can select 6 weeks at 100% pay or 18 weeks at 75% pay.
12.	Back-Up Care: up to 80 hours per year of subsidized child/adult in-center or in-home care.
13.	Sick Pay: accrue 8 hours of paid sick time per month to a maximum of 960 hours.
14.	Tuition Remission: after one year of full-time employment; tuition pay only for up to 4 courses at Pitzer College or 2 courses at any of the other Claremont Colleges (including graduate level) for the employee, and 50% of tuition pay for dependents at Pitzer College only.
15.	Vacation Pay: accrual rates dependent on position grade and years of service, to a maximum earning rate of 22 days per year and balances capped at 33 days.
16.	On-Site Fitness Facilities: fitness room, pilates studio, basketball and volleyball courts, par course and pool.
17.	Rideshare Incentive: $1.75 every workday (5 per week maximum) for commuting to work other than driving alone; up to $50/month reimbursement for public transit pass.
","Provided to all part-time regular employees, defined as working at least 20 hours per week (0.5 FTE, unless otherwise noted):

1.	No salary less than $11.00 per hour
2.	Medical insurance: 2 HMO plans and 1 HDHP with employer subsidies (higher employer subsidy for employees earning under $52,000 per year)
3.	Dental insurance: HMO and PPO with employer subsidies
4.	Vision insurance: Core and Buy-Up plans with employer subsidies (employee only coverage on the Core plan is at no cost to the employee)
5.	Group Life Insurance: 1X annualized salary; minimum $20K, maximum $50K
6.	Retirement Plan: contributions equal to 12% of salary after eligibility period satisfied; immediate vesting; no employee contributions required.
7.	Employee Assistance Program: employee receives 5 free counseling sessions per year per issue, plus household members receive 5 free counseling sessions per year.
8.	Computer Loans: up to $2,000 interest free for the purchase of a computer, after 4 years of part-time employment.
9.	Holiday Pay: 16 days are paid as holidays throughout the year.
10.	Long Term Disability Insurance: paid for employees working 30 hours per week or more.
11.	Paid Leave After Birth/Adoption/Foster Placement of Child: after one year of full-time employment can select 6 weeks at 100% pay or 18 weeks at 75% pay.
12.	Back-Up Care: up to 80 hours per year of subsidized child/adult in-center or in-home care.
13.	Sick Pay: accrual rate pro-rated based on 8 hours per month full-time rate and maximum prorated based off a 960 full-time balance.
14.	Tuition Remission: after 4 years of part-time continuous employment; tuition pay only for up to 4 courses at Pitzer College only for the employee, or 50% of tuition pay for dependents at Pitzer College only.
15.	Vacation Pay: accrual rates dependent on position grade and years of service, to a maximum earning rate prorated from the 22 days per year full-time maximum per year and balances capped at prorated amount based on 33-day cap.
16.	On-Site Fitness Facilities: fitness room, pilates studio, basketball and volleyball courts, par course and pool.
17.	Rideshare Incentive: $1.75 every workday (5 per week maximum) for commuting to work other than driving alone; up to $50/month reimbursement for public transit pass.
","Temporary Employees and Regular Staff Working Less than 20 Hours per Week:

1.	Medical insurance: per ACA qualification, 2 HMO plans and 1 HDHP offered with employer subsidies (higher employer subsidy for employees earning under $52,000 per year)
2.	Sick Pay: 24 hours of sick time pay are granted per year, after initial eligibility period.
3.	Retirement Plan: contributions equal to 12% of salary after eligibility period satisfied; immediate vesting; no employee contributions required.
4.	On-Site Fitness Facilities: fitness room, pilates studio, basketball and volleyball courts, par course and pool.
","Temporary Faculty Working Half Time or More:

1.	Medical insurance: 2 HMO plans and 1 HDHP with employer subsidies (higher employer subsidy for employees earning under $52,000 per year)
2.	Dental insurance: HMO and PPO with employer subsidies
3.	Vision insurance: Core and Buy-Up plans with employer subsidies (employee only coverage on the Core plan is at no cost to the employee)
4.	Group Life Insurance: 1X annualized salary; minimum $20K, maximum $50K
5.	Retirement Plan: contributions equal to 12% of salary after eligibility period satisfied; immediate vesting; no employee contributions required.
6.	Employee Assistance Program: employee receives 5 free counseling sessions per year per issue, plus household members receive 5 free counseling sessions per year.
7.	Long Term Disability Insurance: paid for employees working 30 hours per week or more.
8.	Back-Up Care: up to 80 hours per year of subsidized child/adult in-center or in-home care.
9.	Sick Pay: 24 hours of sick time pay are granted per year, after initial eligibility period.
10.	On-Site Fitness Facilities: fitness room, pilates studio, basketball and volleyball courts, par course and pool.
11.	Rideshare Incentive: $1.75 every workday (5 per week maximum) for commuting to work other than driving alone; up to $50/month reimbursement for public transit pass.

Part-Time Temporary Faculty Working Less Than Half Time:

1.	Sick Pay: 24 hours of sick time pay are granted per year, after initial eligibility period.
2.	On-Site Fitness Facilities: fitness room, pilates studio, basketball and volleyball courts, par course and pool.
3.	Rideshare Incentive: $1.75 every workday (5 per week maximum) for commuting to work other than driving alone; up to $50/month reimbursement for public transit pass.
","1.	Medical insurance: per ACA qualification, 2 HMO plans and 1 HDHP offered with employer subsidies (higher employer subsidy for employees earning under $52,000 per year)
2.	Sick Pay: one hour of sick pay accrued per 30 hours worked.",9.0,True,True,--,--
