Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the institution offer continuing education courses that address sustainability?,Number of continuing education courses offered that address sustainability,Total number of continuing education courses offered,A copy of the list and brief descriptions of the continuing education courses that address ...,A list and brief descriptions of the continuing education courses that address sustainability,Does the institution have at least one sustainability-themed certificate program through its ...,A brief description of the certificate program,Year the certificate program was created,The website URL where information about sustainability in continuing education courses is available ,Public Notes
Middlebury College,2016-03-25,2016-03-25 14:03:25,jmbyrne@middlebury.edu,2.0,Pursuing,True,1.0,2.0,,"see:  http://www.middlebury.edu/media/view/464872/original/bread_loaf_brochure_2014.pdf

Bread Loaf Orion. It will be a week-long professional conference for writers of poetry, fiction, and nonfiction. It has an environmental focus. There will be writing workshops for each of the three genres, readings in the evening, meetings between participants and visiting agents and editors, discussion panels, and a handful of one-off lectures and classes about the art of writing. Each faculty member who elects to give a lecture or teach a class will decide its content (usually focused on an aspect of craft). We’ll have a more detailed schedule posted online in late May.",--,,--,http://www.middlebury.edu/blwc/BLOrion,--
Mills College,2016-02-29,2016-02-29 23:53:54,ngaetjens@mills.edu,2.0,Not Applicable,--,--,--,--,--,--,--,--,--,--
Mount Holyoke College,2016-01-25,2016-01-25 09:10:14,neapple@mtholyoke.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Muhlenberg College,2016-03-23,2016-03-23 10:27:46,kprocyk@muhlenberg.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Naropa University,2016-02-29,2016-02-29 17:16:52,acook@naropa.edu,2.0,Pursuing,--,--,--,,n/a,True,"The Authentic Leadership Program provides a powerful approach to personal and professional transformation that increases a leader's capacity for clarity, compassion and effective action in life and at work.  Drawing on the disciplines of neuroscience, Buddhism, complexity science, organizational learning, and leadership, the program offers proven methods and practices that help leaders cultivate self-awareness and creativity, strengthen and enhance their relationships with others, and effectively lead the changes they want to see in their organizations and in the world.",2005.0,--,--
North Carolina State University,2016-01-28,2016-01-28 13:27:50,lindsay_batchelor@ncsu.edu,2.0,Pursuing,True,13.0,607.0,,"Green Business & Sustainability Professional
Sustainability Professional
Wind Energy Professional 
Senior Certified Sustainability Professional
Alternative Energy Specialist
Biofuel Production Operations
Certified Green Supply Chain Professional
Green Management
Green Marketing Management
Green IT -- Information and Communications Technology",True,"Green Business & Sustainability Professional
Sustainability Professional
Wind Energy Professional 
Senior Certified Sustainability Professional
Alternative Energy Specialist
Biofuel Production Operations
Certified Green Supply Chain Professional
Green Management
Green Marketing Management
Green IT -- Information and Communications Technology",2014.0,http://ContinuingEducation.ncsu.edu/,--
Northern Arizona University,2016-02-23,2016-02-23 18:52:12,Ellen.Vaughan@nau.edu,2.0,Pursuing,--,--,--,,,True,"Northern Arizona University's Master of Arts in Sustainable Communities Program presents the Summer Institute for Sustainable Communities
Join us in beautiful Flagstaff, AZ for sustainability workshops themed on democracy, civic engagement and community building!

The SUS Summer Institute for Sustainable Communities offers graduate students and the greater Flagstaff community the opportunity to learn some hands-on skills.

The SUS Summer Institure offers a variety of workshops and certificate courses each year including but not limited to a permaculture certification course and a master bee-keeper course.


Seperate from the SUS Summer Institute program, NAU offers a CM 499 LEED Design course than can be taken to work towards the LEED GA certification. This past spring 16 students and community members attended the course, took the LEED GA exam, and passed to become accredited LEED GA's.",2003.0,http://home.nau.edu/sus/summer.asp,--
Oberlin College,2016-03-21,2016-03-21 16:09:53,bflynn@oberlin.edu,2.0,Pursuing,True,5.0,43.0,,"Alternative Economic Thought
Bonner Life 101
Eastwood Outdoor Classroom
Food Systems and Food Justice
Permaculture

Descriptions can be viewed on the ExCo website.",--,The Experimental College does not offer certificates.,--,http://oberlinexco.org/,"The Experimental College—affectionately known as ExCo—is a credit-offering, student-run department of Oberlin College. It was established in 1968 through legislation passed by the Educational Plans and Policies Committee and the College Faculty. ExCo's main goal is to serve as a free community educational program open to everyone, with a non-traditional definition of education. The number of classes offered through ExCo varies each semester, but there are usually between 60 and 90. Because the ExCo committee designs no specific curriculum for the department, each semester's courses reflect the current interests of the Oberlin community. ExCo instructors may be townspeople, College or Conservatory students, or faculty and staff members. Instructors are fully responsible for the content of their courses: materials, class size, meeting places and times – everything.  "
Ohio University,2016-03-23,2016-03-23 07:58:13,goetze@ohio.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,"EN-11: Continuing Education
Ohio University offers a variety of learning opportunities through the OHIO eCampus such as course credit for experience, non-credit courses, and CEU's. For the 2015 STARS report, the Office of Sustainability staff elected to invest data collection time involving course offerings into the AC-1 credit instead of this particular credit; at this time our staff is unaware of a public, centralized location where continuing education course offerings are located. For the 2018 report, the Office of Sustainability staff looks forward to taking an in-depth look at this credit and highlighting the University's efforts to provide sustainability courses to community members."
Onondaga Community College,2016-02-26,2016-02-26 16:34:05,vormwals@sunyocc.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
Oregon State University,2016-03-30,2016-03-30 14:51:01,brandon.trelstad@oregonstate.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Pennsylvania State University,2016-03-21,2016-03-21 11:48:53,mme2@psu.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,"Below is a sampling of Penn State sustainability-related educational opportunities, both non-credit and for-credit, offered in a non-traditional format (i.e., online) or targeted to non-traditional students and the general public.  

As noted previously, Continuing Education (Outreach) primarily offers for-credit courses and academic programs targeted to adults seeking a career change, professional development, and degree completion. None of these for-credit academic programs are in areas directly relevant to sustainability.

Penn State Extension in the College of Agricultural Sciences offers a variety of non-credit educational opportunities in the areas of agriculture, natural resources, food and health, and youth and family.

Penn State's World Campus offers a wide variety of for-credit online courses, degrees and certificate programs, including some in the sustainability realm.  Some of these offerings are available exclusively online, while others provide an alternative format to residential courses and programs.

A small number of MOOCs (Massive Open Online Courses) have been developed by Penn State faculty thus far.  One of these - entitled ""Energy, the Environment, and our Future"", taught by Geosciences professor Richard Alley - has a strong sustainability theme.  

There are a number of other centers and programs at Penn State with an educational focus that offer sustainability-related education that is not for academic credit.  For example:
The GridSTAR Center (Grid Smart Training and Application Resource Center) and the Northern Mid-Atlantic Solar Education and Resource Center deliver professional and skilled workforce educational programming in the areas of smart grid and solar technologies, respectively. The Centers are coordinated by faculty and staff on the Penn State UP campus, but delivered at locations in Philadelphia and Pittsburgh.
The Small Business Development Center and the Pennsylvania Technical Assistance Program both offer training and advice in areas that include energy and the environment."
