Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Does the institution make counseling, referral, and wellbeing services available to all staff?","Does the institution make counseling, referral, and wellbeing services available to all members of ...",A brief description of the institution’s wellness and/or employee assistance program(s),The website URL where information about the institution's wellness program(s) is available,"Does the institution make counseling, referral, and wellbeing services available to all students?","Does the institution make counseling, referral, and wellbeing services available to all faculty?",Public Notes
North Carolina State University,2016-01-28,2016-01-28 13:27:48,lindsay_batchelor@ncsu.edu,2.0,Pursuing,True,**,"There is currently a Wellness Task Force who is charged with developing a holistic approach to wellness for students, staff and faculty at NC State.

Student resources for Health and Wellness are provided by the Division of Academic and Student Affairs. Individual departments who support student wellness include:
Alcohol and Other Drug Prevention Education
Counseling Center
Health & Exercise Studies
Office of Student Conduct
Student Health Services
Students of Concern
University Recreation
More information is available at: https://dasa.ncsu.edu/health-wellness/

WolfLife Wellness is designed to assist NC State faculty and staff in achieving healthy lifestyle goals by providing programs and/or services that address the primary components of healthy living such as nutrition, physical activity, tobacco cessation, stress management, and disease management/prevention.

NC State employees have 24-hour access to the Deer Oaks website to receive resources to balance work and family life. Through the website, NC State employees can receive information regarding Deer Oaks services, answer self-assessment questionnaires and schedule appointments. Deer Oaks offers comprehensive Health and Wellness resources to help employees and their family members achieve optimal health and wellness. The health and wellness programs target educational and supportive interventions that can improve each participant's ability to prioritize healthy lifestyle choices. Examples of the health and wellness programs offered include:
- Alcohol abuse,
- Disease management (diabetes, pain, asthma, cancer, and others),
- Diet and nutrition, 
- Fitness and exercise, 
- Healthy lifestyles, 
- Obesity, overeating and weight management, 
- Self-assessments, 
- Smoking cessation, and
- Stress management.",https://dasa.ncsu.edu/health-wellness/,True,True,https://www.ncsu.edu/human_resources/benefits/Wolflife/
Northern Arizona University,2016-02-23,2016-02-23 18:52:10,Ellen.Vaughan@nau.edu,2.0,Pursuing,True,**,"The Employee Assistance and Wellness office (EAW) assists NAU faculty and staff and their families with personal and professional issues, and helps enhance overall health and wellness.  Also provides organizational wellness support. 

Counseling services are available to all benefit-eligible employees and their covered family members. All other services and programs (e.g., wellness programs) are available to all employees. 

Students have access to medical, counseling, and disability services: http://nau.edu/campus-health-services/",http://www4.nau.edu/eaw/index.html,True,True,--
Oberlin College,2016-03-21,2016-03-21 16:09:51,bflynn@oberlin.edu,2.0,Pursuing,True,**,"OC WELL provides programs and services for employees that foster balance, well-being, and improve health and wellness. 

Oberlin also has a Counseling Center: http://new.oberlin.edu/office/counseling-center/",http://www.oberlin.edu/ocwell,True,True,--
Ohio University,2016-03-23,2016-03-23 07:58:21,goetze@ohio.edu,2.0,In Progress,--,--,--,--,--,--,"http://www.ohio.edu/hr/benefits/balance/index.cfm (EAP program)
http://www.ohio.edu/recreation/ping/ (Ping Recreation Center)
http://www.ohio.edu/counseling/index.cfm (Counseling & Psychological Services)
http://www.ohio.edu/involvement/healthpromotion/about.cfm (Health Promotion program)
http://www.oucom.ohiou.edu/CampusCare/index.htm (Campus Care)
http://www.ohio.edu/wellbeing/ (Student WellBeing Plan)
"
Onondaga Community College,2016-02-26,2016-02-26 16:34:04,vormwals@sunyocc.edu,2.0,Pursuing,True,**,"Onondaga provides wellness counseling to all employees through the Help People Employee Assistance Program. The is a free, voluntary, and confidential service for employees and their families who are experiencing personal and/or work related problems. The counseling center provides counseling and wellness services to students. ",--,True,True,--
Oregon State University,2016-03-30,2016-03-30 14:50:52,brandon.trelstad@oregonstate.edu,2.0,In Progress,--,--,--,--,--,--,--
Pennsylvania State University,2016-03-21,2016-03-21 11:48:52,mme2@psu.edu,2.0,In Progress,--,--,--,--,--,--,--
Pittsburg State University,2016-03-24,2016-03-24 14:48:13,bpeery@pittstate.edu,2.0,In Progress,--,--,--,--,--,--,http://www.pittstate.edu/campus-life/groups/intramurals/fitnesswellness/
Pitzer College,2016-02-22,2016-02-22 14:38:54,warren_biggins@pitzer.edu,2.0,Pursuing,True,**,"Students are provided student health services, counseling and psychological services, and health education outreach on-site with a whole wellness approach focusing on balancing social, mental, emotional, physical and spiritual aspects of the students' lives. Health services are low cost and counseling/psychological services and health education outreach (including an eating disorder task force) is at no cost. 

Benefits-eligible faculty and staff receive free counseling (in-person, by telephone and web-based) and referral services at no cost for up to five sessions per year, per individual issue, and members of their immediate households receive five sessions per year. Services are provided via licensed practitioners and advisers contracted by OptumHealth, the administrator of the program.",--,True,True,--
Plymouth State University,2016-02-29,2016-02-29 11:42:39,bweisenhauer@plymouth.edu,2.0,Pursuing,True,**,"The Plymouth State University Healthy People in a Healthy Place Initiative will promote a culture of health, providing leadership, opportunities and support for all employees and their families to encourage health and wellness in varied ways, thereby building healthy people in a healthy place.

Our Goals
Establish leadership and increase employee knowledge of, and engagement in, a culture of wellness at PSU.
Increase opportunities and access for regular moderate to vigorous physical activity for all employees.
Increase opportunities for employees to have a health-promoting diet.
Reduce employees’ perceptions of work- or environment-related stress.
Identify and implement strategic policies to reduce or minimize the rate of increasing employee health-care benefit costs.",https://www.plymouth.edu/healthy-psu/,True,True,--
