Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Number of students engaged in community service,Total number of students ,Does the institution wish to pursue Part 2 of this credit (community service hours)?,Total number of student community service hours contributed during a one-year period,Does the institution include community service achievements on student transcripts?,"A brief description of the practice of including community service on transcripts, if applicable",Does the institution provide incentives for employees to participate in community service (on- or ...,A brief description of the institution’s employee community service initiatives,The website URL where information about the institution’s community service initiatives is available,Public Notes
Villanova University,2016-03-21,2016-03-21 13:11:41,liesel.schwarz@villanova.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,Student population is for undergraduates and graduates both full and part time. Community service numbers are based on a 2010 survey. Number of students participating in community service includes duplicate student involvement for those students who participated in more than one community service activity.  Community service hours  include hours contributed by faculty and staff. Unfortunately the survey does not separate out student and employee hours. 
Virginia Commonwealth University,2015-07-24,2015-07-24 09:33:22,eestanforth@vcu.edu,2.0,Pursuing,17419.0,31163.0,True,1142633.0,True,"VCU includes Service-Learning courses on transcripts, where each service learning course equates to a minimum of 20 community service hours.",True,VCU provides all full-time employees with 16 hours annually of community service leave that can only be used for volunteering within the community.,http://www.community.vcu.edu/,--
Warren Wilson College,2016-03-21,2016-03-21 15:30:14,aclimo@warren-wilson.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,"Community Engagement Commitment
The mission of Warren Wilson College includes preparing students for service, leadership, and meaningful lifelong work and learning. As part of this Triad educational program, completion of a Community Engagement Commitment is one of the requirements for graduation. Students meet the Commitment by progressing through four different Points of Engagement and Growth (PEGs): 

Self Knowledge
Understanding Complex Issues
Capacity for Leadership
Commitment to Community Engagement
By graduation, students demonstrate a measurable level of learning in all four Points of Engagement and Growth."
Wartburg College,2015-04-27,2015-04-27 09:09:08,anne.duncan@wartburg.edu,2.0,Pursuing,1581.0,1747.0,True,53338.0,--,,True,"Following is a excerpt from the staff handbook.

""In the spirit of the Wartburg College mission statement, staff members are encouraged to engage in community service activities and may be allowed to use up to one-half day per year (September through August) of work time with prior approval of the direct supervisor and appropriate vice president. Staff members given permission to lead college-sponsored service trips and released by their supervisor will also use work time.""",http://www.wartburg.edu/cce/,Wartburg College was a Presidents Higher Education Community Service Honor Roll Finalist in 2013.
"Washington State University, Pullman",2016-03-25,2016-03-25 18:59:59,slkane@wsu.edu,2.0,Pursuing,7562.0,21822.0,True,72277.0,--,,True,Zero Waste Special Events hosted by WSU such as concerts.,http://cce.wsu.edu/,--
Washington University in St. Louis,2016-02-29,2016-02-29 19:42:17,valko@wustl.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,"Our Community Service Office tracks community service hours by the service deed, not by student. It was impossible to separate out the service by student. As thus, we had to estimate by using the results of a student survey. "
Weber State University,2016-01-13,2016-01-13 14:17:15,jenniferbodine@weber.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Wellesley College,2016-01-12,2016-01-12 12:03:44,pwilloug@wellesley.edu,2.0,Pursuing,200.0,2323.0,--,--,--,,--,,--,--
Wells College,2016-02-26,2016-02-26 16:59:47,mbrown@wells.edu,2.0,Pursuing,200.0,550.0,True,2436.0,--,,True,"Per the Staff Handbook under Types of Authorized Leave Time:  ""Civic duty: At the discretion of the supervisor, employees are allowed a reasonable amount of time
off for civic activities such as voting, volunteer fire and ambulance service, donating blood, etc."". 

According to the Criteria for Reappointment, Tenure, and Promotion, candidates for tenure and full professor should demonstrate excellence in teaching and one other category, with solidly satisfactory performance in the third. The three areas that are reviewed are: Teaching Excellence, Scholarly Competence, and Community Service. Listed under the Community Service category is this possible criterion: Service to the wider community in civic organizations, volunteer work or other community-building activities.

Wells College maintains an active relationship with our nearest K-12 school district, Southern Cayuga Central School, to encourage the exchange of educational support services between the two campuses, including promotion of events and activities. 

Several Wells administrators and staff members currently serve on the advisory board for the Southern Cayuga Scholarship Foundation, which raises funds and evaluates applicants for annual scholarship awards for that district's students. 


",--,--
Western Michigan University,2016-02-24,2016-02-24 12:21:49,jeffrey.spoelstra@wmich.edu,2.0,Pursuing,20526.0,24294.0,True,1148930.0,--,,--,,http://www.wmich.edu/servicelearning/,http://myproject.nationalservice.gov/honorroll/VariableContent/PDFApplications/WesternMichiganUniversity_15893_2014.pdf
Western State Colorado University,2016-02-16,2016-02-16 19:23:22,bmoran@western.edu,2.0,Pursuing,865.0,2631.0,--,--,--,,True,"60% of faculty contracts are Instruction and then we can choose how to split the remaining 40% between Service (to school and community) and professional development. Many people choose to list their community service (e.g., Board membership).",--,--
Western Washington University,2016-02-29,2016-02-29 19:39:28,seth.vidana@wwu.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,Student community service is not formally tracked by the university at this time. These are the official number of students tracked by the Center for Service Learning which only pertains to a small portion of the student body.
Westminster College,2016-02-25,2016-02-25 14:15:55,kcase@westminstercollege.edu,2.0,Pursuing,2250.0,2991.0,True,102000.0,--,,True,"Positive recognition and annual awards for staff, faculty and community partners are given out to recognize community service. Supervisors allow compensation in employee time cards to allow time for service opportunities for faculty and staff.",https://www.westminstercollege.edu/civic_engagement/index.cfm?parent=6462&detail=15299,--
Wilfrid Laurier University,2015-12-22,2015-12-22 11:31:02,cbennett@wlu.ca,2.0,In Progress,--,--,--,--,--,--,--,--,--,"Time period is from September 2012 to April 2013.

Community service participation has been calculated using the number of for-credit students participating in Laurier's Centre for Community Service Learning and the number of students who participated in not-for-credit hours using the Co-Curricular Record. 

A total of 1368 students participated in Community-Service Learning over the Fall 2012 and Winter 2013 semesters. This information was provided by Rebekah Rempel, the Community Service Learning Coordinator. Community Service-Learning (CSL) integrates meaningful community service with classroom instruction and critical reflection to enrich the learning experience and strengthen communities for the common good. 

Number of students gathered from the Co-Curricular Record are those who have participated in 'Laurier Community Service Initiatives"". These include groups such as LSPIRG, the Student Philanthropy Council, SBE Laurier Day and the Welcome Centre. The Co-curricular record is a student self-reporting tool, whereby students must add their positions by a specified date every year (after which they are verified and approved by staff members). These numbers only include students who have added these positions to their CCR, so it does not reflect the exact number of hours actually completed by students, as many students forget/do not add their activities before the deadline.  
There were a total of 250 approved positions under Laurier Community Service Initiatives for the 2012/2013 academic year. CCR information was provided by Bailey Gross, the Student Leadership Coordinator. "
Williams College,2016-03-23,2016-03-23 08:24:26,mae3@williams.edu,2.0,Pursuing,985.0,2131.0,True,79780.0,--,,--,,http://learning-in-action.williams.edu/,--
Worcester Polytechnic Institute,2016-03-21,2016-03-21 14:52:54,ltomasz@wpi.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
