Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Has the institution conducted an employee satisfaction and engagement survey or other evaluation ...,"The percentage of employees (staff and faculty) assessed, directly or by representative sample",A brief description of the institution’s methodology for evaluating employee satisfaction and ...,A brief description of the mechanism(s) by which the institution addresses issues raised by the ...,The year the employee satisfaction and engagement evaluation was last administered,The website URL where information about the institution’s employee satisfaction and engagement ...,Public Notes
University of Wisconsin-Oshkosh,2016-03-25,2016-03-25 23:41:13,kermathb@uwosh.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
University of Wisconsin-Platteville,2016-02-29,2016-02-29 14:16:05,seebotha@uwplatt.edu,2.0,Pursuing,True,23.0,"In 2013, UW-Platteville did a employee satisfaction survey of all faculty (23% of our staff). The survey was administered to all faculty directly (not a representative sample) and yielded a 55% response rate.",Results of the survey are being used by the Provost's office to evaluate compensation packages and improve employee retention.,2013.0,https://www.uwplatt.edu/files/faculty-senate/files/coache_survey_results%202014.pdf,--
University of Wisconsin-Stevens Point,2016-01-28,2016-01-28 12:01:53,sjanowsk@uwsp.edu,2.0,Pursuing,True,100.0,"Every employee was surveyed in 2015 about work culture and work/life balance and learning and advancement opportunities as part of the Campus Climate Survey. 
Faculty also participates in the Higher Education Research Institute (HERI) Survey in spring, and this survey includes general workplace satisfaction questions. The HERI survey is on a 3-year cycle, but it includes only faculty.","Most recent March 2015 survey results are in the process of being evaluated. 
Issues raised and addressed from the 2008 campus survey and 2011 faculty survey include:
*Low morale was intricately linked to salaries below national averages:
In a study of faculty and staff salaries at UW-Stevens Point found many of our faculty and staff members are paid lower than comparable faculty and staff members (by rank and discipline/area) at public peer institutions nationwide. During the 2012-13 year the university set aside more than $200,000 of base funding to address salary inequities of faculty and academic staff.  Of this allocation, over $150,00 was distributed to faculty through an equity formula developed through governance and approved by the Faculty Senate that compares faculty to their National peers.  In addition, more than $65,000 went to addressing salary inequities for academic staff. The university continues to work with faculty and staff governance at refining these processes for distributing equity funds.
*Faculty and Staff cited that they needed to have additional academic support services to address incoming student populations with a greater range in academic preparedness:
Administration supported a substantial increase in support of academic services.  The number of students served across all programs in the Tutoring and Learning Center (TLC), and their contact hours, grew by 28% this past year.  Services included: expanded hours and satellite locations; hosted football study table; conducted in-class workshops; Math and Career Services Partnership, Advising, Disability Services,   residential living and learning communities; piloted a Supplemental Instruction Program©; and intensive credit based training programs for bath and science tutors. 
*Faculty and staff reported that there was not a consistent expectation for faculty to offer High Impact Learning Strategies within their department:
Administration retooled and just launched a streamlined General Education Program (GEP) in Fall 2013 embedding high impact practices such as an experiential learning component, a first year seminar, as well as a capstone project.   Experiential learning is the synthesis of a hands-on experience such as in internship, externship, research or community project. UW-Stevens Point expects all students will demonstrate skills, processes, and resources needed to make a successful transition from college to the world.
",2015.0,--,--
University of Wisconsin-Stout,2016-03-25,2016-03-25 10:48:32,rykals@uwstout.edu,2.0,Pursuing,True,55.7,"The Applied Research Center does an employee satisfaction survey, typically every three years.  The survey instrument has changed over time.  It was initially a morale survey, then a job engagement survey, and in 2014 a campus climate survey. 2014 was the most recent survey and it was administered electronically to all faculty, staff and students. In 2014, employee satisfaction was measured at 73%  with a combined campus climate and job engagement survey. Survey results are posted on the information portal.",Employee satisfaction has been an addition to the survey. ,2014.0,https://info.uwstout.edu/Pages/DetailList.aspx?Category=Surveys&Subcategory=Faculty+Staff+Surveys&SurveyType=Campus+Climate+Survey-Faculty+%EF%BC%86+Staff,Information from the Applied Research Center Director and 2014 Campus Climate Survey
University of the Pacific,2016-03-23,2016-03-23 15:38:44,seller@pacific.edu,2.0,Pursuing,True,58.0,"Pacific conducted a campus climate survey for all students, faculty and staff for all three campuses. The campus surveys were conducted in order to understand the current climate as well as learn from the results the areas in which we need to enhance staff development and engagement. 
","Pacific announced the results of the campus climate survey and allowed all staff, faculty and students to view the data. After the results went live, key members of the survey spoke about the results, forums were held for each constituent group, each division had a meeting to discuss their respective division's results alongside the university's in total, and the Staff Advisory Council reached out to all constituents for feedback. 

A Staff Climate Action Task Force was created and has representatives from different departments on campus. It has created some action item solutions and is currently hosting forums on all three campuses to engage with all constituents.  ",2015.0,http://www.pacific.edu/About-Pacific/AdministrationOffices/Business-and-Finance-Division/Policies-and-Procedures/Staff-Campus-Climate-Survey-Results.html,"2015 Campus Climate Survey completed

2015 percentage only represents Stockton's response rate - KB"
Vanderbilt University,2016-03-21,2016-03-21 10:46:11,andrea.george@vanderbilt.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Vassar College,2016-03-10,2016-03-10 19:47:29,alihall@vassar.edu,2.0,In Progress,--,--,--,--,--,--,--
Villanova University,2016-03-21,2016-03-21 13:11:32,liesel.schwarz@villanova.edu,2.0,In Progress,--,--,--,--,--,--,--
Virginia Commonwealth University,2015-07-24,2015-07-24 09:33:11,eestanforth@vcu.edu,2.0,Pursuing,True,100.0,"In support of its Strategic Plan, Quest for Distinction, VCU developed the Great Place Initiative.  Its goal is for all people who are part of VCU to experience the university as a great place to learn, work and live.

VCU administered a climate survey, focus groups and town halls to evaluate employee satisfaction and engagement.","Upon receiving the results from the survey, focus groups and town halls, VCU committed to the following:

- Assessment of current programs;
- Planning of programs, policies and benefits;
- Modify/develop existing/new programs; and,
- Implement new programs and policies",2013.0,http://www.greatplace.vcu.edu/docs/,--
Warren Wilson College,2016-03-21,2016-03-21 15:30:04,aclimo@warren-wilson.edu,2.0,Pursuing,--,--,,,--,--,--
Wartburg College,2015-04-27,2015-04-27 09:08:28,anne.duncan@wartburg.edu,2.0,Pursuing,True,100.0,"The College use to use Modern Think's Employee Satisfaction Survey, but recently  developed an internal employee satisfaction survey. It was first given in 13/14 year. It is our intent to repeat the survey regularly.  ","There were two recurring themes which arose from the most recent campus survey; communication and and feedback. 

Methods in increase communication are the most public ways on-campus members have seen these issues addressed. The President's office conducts two all campus addresses, which include a Q&A section, allowing employees to directly direct the President. There is a section on the internal website for documents from the President, including a copy the emails the President sends to all employees with a summary of each board meeting. The President has also asked all administrative committees in improve their communication with the campus. 

The Human Resources Department, in partnership with the President's office, has created an appraisals task force to help improve the performance review process. 

A third of many outcomes from the employee satisfaction survey includes the generation of the President's Advisory Committee. This committee helps the President receive feedback from community members and also provide his own feedback to the community.",2013.0,--,--
"Washington State University, Pullman",2016-03-25,2016-03-25 18:59:18,slkane@wsu.edu,2.0,Pursuing,True,0.1,A satisfaction assessment/survey was offered to all employees.,HR reviewed answers to determine patterns to be addressed.,2012.0,--,"Could not locate actual number of completed employee satisfaction or engagement surveys, thus the low percentage of employees assessed."
Washington University in St. Louis,2016-02-29,2016-02-29 19:42:07,valko@wustl.edu,2.0,In Progress,--,--,--,--,--,--,--
Weber State University,2016-01-13,2016-01-13 14:17:06,jenniferbodine@weber.edu,2.0,In Progress,--,--,--,--,--,--,--
Wellesley College,2016-01-12,2016-01-12 12:03:34,pwilloug@wellesley.edu,2.0,Pursuing,True,100.0,"Wellesley College embarked on a Healthy You initiative 4 years ago. It began as a way to manage health care costs and support a healthier work place.  Over the course of the past 4 years, we learned that Wellesley needs to look holistically at our employees and support their physical and mental health, as well as their financial wellness and philanthropic interests.  We also have learned from our community that it is important to provide resources and benefits  at each stage of their lives. We are currently offering programs and benefits that support our employees in these ways.  It is no longer a one size fits all approach and now supports the individual.  
","The college utilizes a variety of mechanisms, including the following:

1.  A report that evaluates the Human Resources function.
2.  Focus groups on the college's workplace climate.
3.  The HR Director meets with a committee of administrative council called CPPAC, which is an advisory committee to the President on HR issues. The CPACC gathers information from the staff on worker issues and needs.   
4.  The HR Office requests information on program evaluations in order to evaluate employees needs in terms of benefits and resources.",2014.0,http://www.wellesley.edu/hr/benefits/healthyyou,--
Wells College,2016-02-26,2016-02-26 16:59:38,mbrown@wells.edu,2.0,Pursuing,True,65.0,"The Staff Forum and the HR department sent out to all campus staff a Campus Climate Survey instrument, soliciting input in response to two open-ended questions:
1) What makes you feel good about being a member of the Wells community?
2) What are specific ways Wells' campus climate could be improved? (Please provide constructive feedback. Specific programming suggestions are welcomed).
","Responses from the Campus Climate Survey were evaluated by senior staff and the HR department, as well as by Staff Forum. Staff Forum organized ""fun"" events like the annual Aurora2Aurora fitness challenge, the holiday party, and the annual employee picnic to increase employee cohesion and raise morale. ",2009.0,--,--
Western Michigan University,2016-02-24,2016-02-24 12:21:38,jeffrey.spoelstra@wmich.edu,2.0,Pursuing,True,49.4,"Western Michigan University recently evaluated employee satisfaction and engagement through the use of the campus climate survey and focus groups. Survey respondents included 493 faculty members, 924 staff members and 126 administrators. It was commissioned by Western Michigan University to take an in-depth look at diversity and inclusion issues on campus and identify those areas where improvement is needed. Campus officials say they're pleased at the overall views detailed in study results, and gratified that the work uncovered specific issues that need to be addressed and corrected.","The campus climate for diversity, equity, and inclusion tactical action community (CCDEI TAC) is inviting proposals from WMU faculty, staff, and administrators interested in conducting division, college, or unit assessments for campus-wide transformational change initiatives. Funding is available to award up to nine assessment grants of up to $3,000 each. The CCDEI TAC is encouraging collaboration between faculty, staff, administrators, and students to submit a proposal for the diversity, equity, and inclusion assessment grants.
",2013.0,http://wmich.edu/president/climatesurvey,--
Western State Colorado University,2016-02-16,2016-02-16 19:23:12,bmoran@western.edu,2.0,Pursuing,True,29.0,"The survey was made available via email to all faculty, staff, and administration. The institution participated in the State of Colorado's employee engagement survey, conducted by Gelfond Surveys.",The reports were shared with department management.,2015.0,--,--
Western Washington University,2016-02-29,2016-02-29 19:39:18,seth.vidana@wwu.edu,2.0,In Progress,--,--,--,--,--,--,--
Westminster College,2016-02-25,2016-02-25 14:15:45,kcase@westminstercollege.edu,2.0,Pursuing,True,80.0,A Chronicle of Higher Education survey is conducted annually.,Issues are addressed by the Human Resources Department. ,2014.0,--,--
Wilfrid Laurier University,2015-12-22,2015-12-22 11:30:52,cbennett@wlu.ca,2.0,In Progress,--,--,--,--,--,--,--
Williams College,2016-03-23,2016-03-23 08:23:29,mae3@williams.edu,2.0,Pursuing,True,72.0,"Williams uses a web-based survey
HR also runs many training and development workshops and conducts surveys after each one.  
Williams also measures employee satisfaction and engagement through performance development/annual performance reviews.","Issues raised by the survey were taken up by HR, the Committee on Diversity and Community, and the Williams Staff Committee, among others.  
One example of an issue that was raised and addressed/reviewed is the compensation review.",2014.0,http://sites.williams.edu/wsc/announcements/staff-survey-results/,--
Worcester Polytechnic Institute,2016-03-21,2016-03-21 14:52:44,ltomasz@wpi.edu,2.0,In Progress,--,--,--,--,--,--,--
