Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the institution have policies and/or guidelines in place to improve outdoor air quality and ...,A brief description of the policies and/or guidelines to improve outdoor air quality and minimize ...,Has the institution completed an inventory of significant air emissions from stationary sources on ...,A brief description of the methodology(ies) the institution used to complete its air emissions ...,Weight of the following categories of air emissions from stationary sources:,Nitrogen oxides (NOx) emissions,Sulfur oxides (SOx) emissions,Carbon monoxide (CO) emissions,Particulate matter (PM) emissions,Ozone (O3) emissions,Lead (Pb) emissions,Hazardous air pollutants (HAPs) emissions,Ozone-depleting compounds (ODCs) emissions,Other standard categories of air emissions identified in permits and/or regulations,A brief description of the institution’s initiatives to minimize air pollutant emissions from ...,"The website URL where information about the institution’s outdoor air quality policies, guidelines ...",Public Notes
Columbia University,2016-01-13,2016-01-13 14:27:12,as3215@columbia.edu,2.0,Pursuing,True,"Columbia developed an Idle-Free Campaign to help raise awareness of idling and to educate the community, ultimately helping to meet the NYC and University goals around clean air, greenhouse gas reductions, noise reduction and efficient resource use.  
http://www.ehs.columbia.edu/IdleFreeCampaign.pdf 

In July of 2014, Columbia University adopted the following policy to assure compliance with applicable law and to promote the health and safety of its community.

Smoking is prohibited in any indoor area, in all University vehicles, and outdoor seating or viewing areas of sports arenas and recreational areas, such as those at Baker Field.  Smoking is also prohibited outdoors within 20 feet of all University buildings (including undergraduate housing).
Without in any way limiting the general rule, smoking is specifically prohibited in the following areas at the University: auditoriums, classrooms, conference rooms, meeting rooms, laboratories and storage areas, employee or student lounges, theaters, clubhouses, elevators, hallways, stairwells, restrooms, undergraduate apartment buildings or residence halls, gymnasiums, swimming pools, employee or student medical facilities, rooms or areas containing photocopying or other equipment used by employees or students in common, food markets or other retail stores, restaurants, cafeterias and dining facilities (including the Faculty House), and bars or other places in which alcoholic or other beverages are served.
Notwithstanding the above descriptions of locations where smoking is prohibited or permitted, smoking is prohibited in any area with signage indicating that smoking is prohibited. Smoking is entirely restricted except for 15 designated outdoor locations.  
Employees at the Medical Center Campus are required to obey campus-specific smoking policies along with New York Presbyterian Hospital applicable to hospital premises.  Violations of the hospital's policies by University employees will be considered violations of this policy.
This policy will also be applied to the Lamont-Doherty Earth Observatory and Nevis Laboratories unless local laws in those two locations were to require more restrictive practices.

Additionally, Columbia utilizes hybrid or electric vehicles whenever possible to reduce emissions from vehicle exhaust.  For more on hybrid/electric vehicle usage, see the transportation section. ",--,,**,--,--,--,--,--,--,--,--,--,,--,--
Connecticut College,2016-02-28,2016-02-28 16:33:00,jstoffel@conncoll.edu,2.0,Pursuing,True,The College enforces the state of Connecticut's idling policy. The College includes the state's idling policy in all contracts signed with vendors who will bring vehicles to campus. ,--,,**,--,--,--,--,--,--,--,--,--,Emissions tests were completed on our Central Heating Plant before we upgraded our four boilers to CNG boilers. ,--,--
Cornell University,2016-03-18,2016-03-18 08:39:34,cma18@cornell.edu,2.0,Pursuing,True,"Cornell routinely requires (or analyzes in-house) emissions from all sources (stationary equipment, labs, etc.) and maintains strict standards regarding these emissions – exceeding regulatory requirements.  Cornell follows state mandated non-idling requirements to reduce emissions from mobile sources. Emissions from sources on campus are limited to meet local, state and federal limits. In addition Cornell has a strong commitment to low emission and no emission vehicles in the fleet and a robust Transportation Demand Management program, all of which reduce mobile emissions.",True,Cornell performed a comprehensive air emission source inventory to prepare the initial Title V air emission permit.  Campus partners are queried annually to update that inventory which serves as a baseline for multiple reports.,**,39.0,45.0,14.5,9.9,--,--,--,--,4.3,"The University uses a robust program of energy conservation, co-generation, low-emission fuels, and continuous emissions monitoring to minimize emissions to the lowest level necessary to operate the University in a reliable and efficient manner.",http://sp.ehs.cornell.edu/env/air/clean-air-act/Pages/default.aspx,--
Creighton University,2016-02-24,2016-02-24 14:08:40,mjduda@creighton.edu,2.0,Pursuing,True,"These guidelines are part of the document ""Sustainability in Construction at Creighton"":
. Turn off engines when the machine isn’t being utilized.
. Car pool to the job site.
. If you are going to be parked for more than 30 seconds, turn off the engine.
Ten seconds of idling can use more fuel than turning off the engine and restarting it. Idling gets ZERO miles per gallon.

http://www.creighton.edu/fileadmin/user/AdminFinance/Facilities/docs/Sustainability_in_construction_at_Creighton_2012.pdf",--,,**,--,--,--,--,--,--,--,--,--,,--,--
Denison University,2016-02-15,2016-02-15 15:55:30,kingje@denison.edu,2.0,Pursuing,True,The college has a no idling policy for all of campus.,True,Denison maintains an inventory of all of its stationary sources of air emissions which include boilers and generators.  Denison hired a company to do an analysis of each source including emissions per hour of use.,**,6.16,0.036,5.07,0.458,--,3.1e-05,0.114,--,--,"Denison eliminated the use of coal at its central heating plant in 2014.  Prior to this, coal was the primary fuel source used to heat the campus.  Denison now operates two natural gas boilers at the central heating plant which has significantly reduced emissions.

Denison also developed processes to shut down buildings over the winter break and other breaks to eliminate unnecessary use energy in unoccupied spaces.",--,Inventory of stationary sources of combustion is available upon request - we do not put this information on the public website.
Dickinson College,2016-03-08,2016-03-08 10:06:38,welkerm@dickinson.edu,2.0,Pursuing,True,Dickinson follows and enforces The Pennsylvania Diesel-Powered Motor Vehicle Act of 2009 for its fleet vehicles and for vehicles making deliveries/conducting business on the college campus.,--,Inventories have been conducted at our campus Central Energy Plant.,**,--,--,--,--,--,--,--,--,--,,https://cleanairboard.wordpress.com/about/diesel-powered-motor-vehicle-idling-act/,--
Drew University,2016-03-25,2016-03-25 16:11:11,swald@drew.edu,2.0,Pursuing,True,New Jersey's No Idling Policy is enforced. Signs are posted at several building entrances and unloading areas.,True,Drew contracted an air emission consultant to develop and inventory in 2015  ,**,--,--,--,--,--,--,--,--,--,No Idling Policy is enforced.,--,--
Duke University,2016-02-26,2016-02-26 14:17:56,tavey.mcdaniel@duke.edu,2.0,Pursuing,--,,True,"The original survey was conducted in the late 1990s. Currently, OESO Environmental Programs is contacted by the Duke Project Manager whenever a stationary source is added on campus. OESO will evaluate the source to determine if it needs to be added to our Title V permit as an insignificant or permitted emission source.",**,73.6,0.5,74.2,7.1,--,0.000495,4.149,--,--,Duke recently converted from coal burning boilers to natural gas boilers at the steam plant which significantly reduced the amount of air emissions. Duke has also reduced the number of testing and maintenance emergency generators run hours for each month.,--,--
Earlham College,2016-03-03,2016-03-03 10:49:49,butchli@earlham.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Eastern Connecticut State University,2016-03-03,2016-03-03 15:13:13,stoddardl@easternct.edu,2.0,Pursuing,True,"Eastern complies with the state Anti-Idling laws which prevent vehicles from idling for more than three minutes. http://www.ct.gov/deep/cwp/view.asp?a=2684&q=570934&deepNav_GID=1619 

In the summer of May 2015 Eastern completed a university fleet inventory that accounted for all university owned vehicles and their fuel usage. The inventory specifies which vehicles use the most fuel and are the most inefficient and strives to guide the purchasing of new vehicles that might be more fuel efficient, or utilize alternative energy sources. ",True,"Each year Eastern must receive an Air Quality permit and comply with federal and state mandates for the Department of Energy and Environmental Protection (DEEP). 

",**,8.9,0.72,7.2,2.12,--,--,0.47,--,7.09,"The University complies with Connecticut Department of Energy and Environmental Protection Bureau of Air Management Engineering and Enforcement division laws relating to on site stationary source emissions. 

",http://www.ct.gov/dph/cwp/view.asp?a=3140&q=387450,The information supplied for the stationary emissions sources was taken from CT DEEP Air Permit report submitted by Eric Germain. It covers data from 1/1/14 to 12/31/14.
Elon University,2016-01-14,2016-01-14 09:32:45,edurr@elon.edu,2.0,Pursuing,True,"Below is a summary of the No-Idling Policy. 
Policy Overview 
The following policy is to be followed while using all Physical Plant vehicles and equipment: 
• Vehicles will be shut off whenever parked idling time is expected to exceed 20 seconds. An exception is diesel engines. Diesel engines 
shall not park and idle longer than 3 minutes. See Policy Exceptions. 
• Vehicles will not be left idling when unattended (unless operationally required to safely perform a job function). 
• Engine warm-up periods will not exceed one minute (provided required airbrake pressure and/or other critical settings have been 
reached). 
• When fueling any vehicle/equipment, operator will not top-off the vehicle past the point that the fuel nozzle overflow safety system 
shuts down the fueling process. 
Policy Description 
All gasoline and diesel powered vehicles and equipment operated by Elon University Physical Plant employees while being used for 
official business, regardless of size, shall be idled only as necessary to perform the required duties of a given employee’s position or the 
essential function(s) of the equipment. 
An operator of an off-road piece of equipment must not cause or allow the off-road equipment to idle at any location for longer than this 
policy allows unless the manufacturer’s recommendation states otherwise. This must be approved in writing by the director/manager of 
the division. 
Policy Adherence 
Supervisors will ensure all employees are informed and adhere to this policy and shall address all non-compliance issues.",--,,**,--,--,--,--,--,--,--,--,--,,--,--
