Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the institution have an institution-wide stated preference to purchase computers and/or other ...,"A copy of the electronics purchasing policy, directive, or guidelines","The electronics purchasing policy, directive, or guidelines ","A brief description of steps the institution has taken to ensure that the purchasing policy, ...",Does the institution wish to pursue to pursue Part 2 of this credit (expenditures on EPEAT ...,"Expenditures on EPEAT registered desktop and laptop computers, displays, thin clients, televisions, ...","Expenditures on EPEAT Bronze desktop and laptop computers, displays, thin clients, televisions, and ...","Expenditures on EPEAT Silver desktop and laptop computers, displays, thin clients, televisions, and ...","Expenditures on EPEAT Gold desktop and laptop computers, displays, thin clients, televisions, and ...","Total expenditures on desktop and laptop computers, displays, thin clients, televisions, and ...","The website URL where information about the institution's electronics purchasing policy, directive, ...",Public Notes
Columbia University,2016-01-13,2016-01-13 14:27:06,as3215@columbia.edu,2.0,Pursuing,True,,"Central University Purchasing strongly encourages the use of University-wide Purchasing Agreement suppliers in order promote University based initiatives and cost controls
","Columbia University has purchasing portals for all centralized computer purchases.  The University has restricted and standardized the choice of computers purchasers may select to only EPEAT gold certified models on the CUMC and Morningside CUIT Central Administration portals.  A third portal exists for non-CUIT supported departments to purchase computers that offers EPEAT gold certified models as well as .   Not only does this benefit the environment through EPEAT, but by only having a few models on campus, it increases the reuse of accessories and reduces the need to purchase peripherals as often.     Additionally, in Central Administration, all new Dell computers purchased must come with power saving management settings that are more efficient than factory recommendations.  Through these guidelines, the University is able to improve our computer environmental footprint.
 
The Dell Premier site which has sanctioned models for University purchasing include the following models with their EPEAT status:
Optiplex 790        Gold
Latitude E6220        Gold
Latitude E6420        Gold
Optiplex 7010        Gold
Latitude E6430        Gold
Latitude E6230        Gold

Additional URLS: 
http://environment.columbia.edu/wycd/purchasing 
http://www.columbia.edu/acis/desktop/hardware.html 
http://www.apple.com/environment/reports/ 
http://www.dell.com/downloads/global/products/optix/en/EPEAT_Dell_Overview.pdf ",True,**,5888.82,270347.87,3918198.23,6443966.55,http://finance.columbia.edu/purchasing-guide,--
Connecticut College,2016-02-28,2016-02-28 16:32:53,jstoffel@conncoll.edu,2.0,Pursuing,--,,,,--,**,--,--,--,--,--,We are currently considering a stated preference to purchase EPEAT Silver or higher computers and monitors.
Cornell University,2016-03-18,2016-03-18 08:39:28,cma18@cornell.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/270/6/506/3784/Computers%20and%20Hardware_Procurement.pdf,"As stated on the Cornell Procurement Services web site, ""Cornell’s preferred suppliers for computer hardware provide products that are ENERGY STAR compliant and meet Electronic Product Environmental Assessment Tool (EPEAT®) silver and/or gold standards. Cornell prefers to purchase EPEAT Silver or higher computers and monitors.""

https://www.dfa.cornell.edu/procurement/about/initiatives/sustainability/resources ",Cornell’s preferred suppliers for Computer Hardware provide hardware products that are energy star compliant and meet EPEAT silver and/or gold standards.  Purchases that are made through Procurement Services are ensured of meeting the standards. An exception ordering process with justification and review requirements has been established.,True,**,10327.0,571212.0,4325596.0,5554410.0,https://www.dfa.cornell.edu/procurement/buyers/computers,"We purchase computers and laptops exclusively from Dell and Apple. Dell designs and engineers its products to help prevent pollution and conserve natural resources throughout the system's life. Reducing the environmental impact of Dell products begins at the design stage. Cross-functional product design teams work to make thoughtful and effective decisions that will have positive environmental results throughout the equipment’s life cycle.

We purchase multi-function printers from Ricoh USA and Eastern Managed Print Networks.

Facilties Services sets the standard for buying green.  The systems we purchase are Lead-Free, RoHS Compliant, EPEAT registered, and Energy Star® certified.

http://www2.cit.cornell.edu/computer/green/"
Creighton University,2016-02-24,2016-02-24 14:08:34,mjduda@creighton.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/629/6/506/3784/2.9_Sustainability.doc,"Below is a link to our Energy Star purchase program
http://www.creighton.edu/finance/purchasing/index.php
",Please click into policy 2.9. All approved computers and periphrals are EPEAT gold with a few silver. The standards are on a locked down page and do not have public access. All purchases are sent throught Purchasing with an additional approval by IT. We have just introduces an eProcurement system for ordering on campus which further controls this process. 90% of devices are either Lenovo or Apple,True,**,--,286016.0,2891936.0,3177952.0,http://www.creighton.edu/admin/purchasing/policies/practices/index.php,Purchase numbers taken from Purchasing's annual buying report. 
Denison University,2016-02-15,2016-02-15 15:55:24,kingje@denison.edu,2.0,Pursuing,True,,All electronics purchased by the college must be EPEAT and/or Energy Star certified unless no option exists for the intended use of the product.  ,"As a matter of course, the institution only purchases EPEAT certified computers and monitors.  There are a few exceptions in areas like cinema where editing requires larger monitors that are often not EPEAT certified.",True,**,--,798.0,417240.0,418038.0,http://denison.edu/campus/green,--
Dickinson College,2016-03-08,2016-03-08 10:06:32,welkerm@dickinson.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/232/6/506/3784/Sustainable%20Technology.pdf,Please see attached document.,"Under the direction of Library and Information Services, Dickinson College purchases computers from Dell and Apple, companies that have a long-standing commitment to the environment and their offering of EPEAT Silver- and Gold-rated computers.",True,**,--,123244.0,365416.0,488660.0,http://www.dickinson.edu/info/20052/sustainability/2284/waste_and_materials,--
Drew University,2016-03-25,2016-03-25 16:10:41,swald@drew.edu,2.0,Pursuing,True,,"Energy Star Purchasing Policy, available at https://www.drew.edu/sustainability/climate-neutrality",University Technology purchases EPEAT Silver or higher computers and monitors. The Office of Sustainability ensures compliance for departments with this policy including for Capital Projects.,--,**,--,--,--,--,https://www.drew.edu/sustainability/climate-neutrality,--
Duke University,2016-02-26,2016-02-26 14:17:51,tavey.mcdaniel@duke.edu,2.0,Pursuing,True,,"The Duke Computer Purchasing Program offers standardized computer models to get better pricing and extended warranties through ours preferred vendors, Dell, Lenovo and Apple.  In addition to better pricing, we have selected the most energy efficient computer options to choose from, as rated by EPEAT (Electronic Product Environmental Assessment Tool). Please review the information regarding standardization, warranties and product options on the Duke Computer Store website.","Duke University and Health System has a standardized computer purchasing program. Steps have been taken to eliminate purchases outside of the formal purchasing portal, to ensure that standardization policies are followed.",True,**,--,12396.0,15928460.0,16083463.0,http://finance.duke.edu/procurement/programs/computer/index.php,This information is from the fiscal year 2014 report.
Earlham College,2016-03-03,2016-03-03 10:49:43,butchli@earlham.edu,2.0,Pursuing,--,,This is currently in progress.,n/a,True,**,--,1692.47,336904.78,338597.25,--,We are currently working on creating an EPEAT standard that will reflect our already in place purchasing practice of buying all Silver or Gold EPEAT computers.
Eastern Connecticut State University,2016-03-03,2016-03-03 15:13:07,stoddardl@easternct.edu,2.0,Pursuing,True,,Eastern currently purchases from a state contract. All computers and other electronics are EPEAT Certified. ,All purchasing is completed in coordination with the state contract. ,True,**,--,--,635283.5,635283.5,http://www1.easternct.edu/fiscalaffairs/purchasing/,"Information for this credit was provided by Cindy Hodis in Purchasing, with assistance from Kevin Gill in IT. Dollar amounts included are based on FY-15 reporting. "
Elon University,2016-01-14,2016-01-14 09:32:39,edurr@elon.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/354/6/506/3784/OP%2012%20Sustainable%20Purchasing%20Guidelines.pdf,,Campus Technology Support is the primary purchaser of electronics and follows the guidelines. Most preferred models purchased meet EPEAT Silver or Gold. The preference for EPEAT products is in the University's Energy Conservation Policy as well as the Sustainable Purchasing Guidelines.,True,**,415.95,45651.47,727836.68,801751.27,http://www.elon.edu/e-web/bft/sustainability/ci-purchasing.xhtml,Expenditure information is from FY 15.
Emory University,2016-02-29,2016-02-29 16:26:22,ciannat.howett@emory.edu,2.0,Pursuing,True,,"Electronic Product Environmental Tool (EPEAT)
Helps purchasers evaluate, compare and select electronic products based on their environmental attributes.   Utilize the user-guide for evaluating computer desktops, laptops and monitors for their environmental attributes. Emory gives preference for products meeting the EPEAT guidelines whenever possible. ","The purchasing guidelines are ensured through the Procurement and Payment Services Department. Emory's preferred PC provider on campus is Dell.  All of the order defaults in the purchasing catalog are for EPEAT Gold desktops, laptops and monitors. All Apple purchases are EPEAT Gold.",True,**,--,--,6308163.0,6308163.0,https://www.finance.emory.edu/home/Procure%20and%20Pay/how_to_buy_in_the_marketplace/index_procure_pay_greenpractices.html,Data reported for 2013-2014 fiscal year.
